x,y,L,t, 20, 1
0.0, 0.0, 0.0, 32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
 
 
0.0, 0.0, 0.0, 55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
 
 
-0.02355750934645473, -0.0004571662202905953, -0.02356194490192345, 78, -0.06981317007977318, 0.05235987755982988, -0.02355750934645473, -0.0004571662202905953, -0.02356194490192345, 0.01940395462511343
 
 
-0.02355750934645472, -0.000457166220290595, -0.02356194490192345, 94, -0.1570796326794897, 0.1396263401595464, 6.931190864048267e-18, 3.268666636638458e-19, 6.938893903907228e-18, 0.04712388980384691
 
 
-0.02355750934645468, -0.0004571662202905912, -0.02356194490192341, 112, -0.3141592653589793, 0.296705972839036, 3.798444196748441e-17, 3.696848504017533e-18, 3.816391647148976e-17, 0.09701977312556714
 
 
-0.02355750934645476, -0.0004571662202906023, -0.02356194490192348, 130, -0.4886921905584122, 0.471238898038469, -7.201326680557766e-17, -1.106498139203165e-17, -7.28583859910259e-17, 0.1524596434830341
 
 
-0.04657084616907285, -0.005512022879980152, -0.04712388980384697, 148, -0.6981317007977318, 0.6632251157578452, -0.0230133368226181, -0.005054856659689549, -0.02356194490192348, 0.2162154943941211
 
 
-0.02392632430882335, 0.0009988048156333342, -0.02356194490192333, 164, -0.8901179185171079, 0.8726646259971648, 0.0226445218602495, 0.006510827695613486, 0.02356194490192363, 0.2799713453052081
 
 
-0.001832036041365032, 0.009184626308661656, 0.0, 184, -1.117010721276371, 1.117010721276371, 0.02209428826745832, 0.008185821493028323, 0.02356194490192333, 0.3548151702877884
 
 
-0.04483449347352772, -0.01008840264477863, -0.04712388980384697, 201, -1.343903524035634, 1.308996938995747, -0.04300245743216269, -0.01927302895344028, -0.04712388980384697, 0.4213430147167488
 
 
-0.1907395274922758, -0.08699625776043241, -0.2120575041173108, 220, -1.605702911834783, 1.448623279155294, -0.1459050340187481, -0.07690785511565378, -0.1649336143134638, 0.4850988656278357
 
 
-0.4347709485666846, -0.2297984327341646, -0.4948008429403922, 238, -1.850049007113989, 1.48352986419518, -0.2440314210744088, -0.1428021749737321, -0.2827433388230815, 0.5294507619138093
 
 
-0.7147472777523785, -0.4042279130914542, -0.8246680715673204, 255, -2.059488517353309, 1.448623279155294, -0.2799763291856938, -0.1744294803572897, -0.3298672286269281, 0.5571706970925428
 
 
-1.088691706320736, -0.6503584043197983, -1.272345024703867, 273, -2.303834612632515, 1.361356816555577, -0.3739444285683575, -0.2461304912283441, -0.4476769531365462, 0.5821186387534029
 
 
-1.784020189637634, -1.1361695416228, -2.12057504117311, 301, -2.705260340591211, 1.134464013796314, -0.695328483316898, -0.4858111373030016, -0.8482300164692438, 0.6098385739321364
 
 
-2.402089952585988, -1.568001663669913, -2.874557278034661, 322, -2.984513020910303, 0.8552113334772214, -0.6180697629483543, -0.4318321220471128, -0.7539822368615505, 0.6098385739321364
 
 
-3.127417796761279, -2.092937979752643, -3.769911184307752, 349, -3.368485456349056, 0.5759586531581288, -0.7253278441752907, -0.5249363160827301, -0.8953539062730908, 0.6264705350393766
 
 
-3.832238527117109, -2.606015909478782, -4.641703145678919, 372, -3.700098014227978, 0.2617993877991494, -0.7048207303558305, -0.5130779297261392, -0.8717919613711675, 0.6292425285572499
 
 
-4.497612909423149, -3.09320617994138, -5.466371217246239, 394, -4.014257279586958, -0.03490658503988659, -0.6653743823060388, -0.4871902704625983, -0.82466807156732, 0.6320145220751231
 
 
-5.143976595091873, -3.566476728390763, -6.267477343911637, 415, -4.310963252425994, -0.3316125578789226, -0.6463636856687247, -0.473270548449382, -0.801106126665398, 0.6320145220751233
 
 
-5.696403654019417, -3.968618889527467, -6.950773746067418, 432, -4.5553093477052, -0.5934119456780721, -0.5524270589275436, -0.4021421611367043, -0.683296402155781, 0.6292425285572499
 
 
-6.267879921875495, -4.38462802173785, -7.657632093125121, 451, -4.817108735504349, -0.8552113334772214, -0.5714762678560784, -0.4160091322103828, -0.706858347057703, 0.6292425285572497
 
 
-6.801257771874502, -4.772903211800874, -8.317366550378978, 468, -5.061454830783555, -1.099557428756428, -0.5333778499990068, -0.3882751900630241, -0.6597344572538564, 0.6292425285572497
 
 
-7.431147741816202, -5.228768959977982, -9.094910732142452, 487, -5.340707511102648, -1.396263401595464, -0.6298899699417005, -0.4558657481771081, -0.7775441817634743, 0.6264705350393765
 
 
-7.889249538137439, -5.56030768592497, -9.660397409788615, 501, -5.550147021341968, -1.605702911834783, -0.4581017963212367, -0.3315387259469877, -0.5654866776461631, 0.6264705350393766
 
 
-8.500051933232422, -6.002359320520954, -10.41437964665017, 520, -5.829399701661061, -1.884955592153876, -0.6108023950949827, -0.442051634595984, -0.7539822368615514, 0.6264705350393766
 
 
-9.074967924809075, -6.413601737392777, -11.12123799370787, 538, -6.073745796940266, -2.164208272472969, -0.5749159915766527, -0.4112424168718233, -0.7068583470577003, 0.6209265480036298
 
 
-9.611556183613953, -6.797427993139814, -11.78097245096172, 555, -6.318091892219472, -2.408554367752175, -0.5365882588048781, -0.3838262557470367, -0.6597344572538564, 0.6209265480036298
 
 
-10.18647217519061, -7.20867041001164, -12.48783079801943, 572, -6.579891280018622, -2.670353755551324, -0.5749159915766571, -0.4112424168718264, -0.7068583470577057, 0.6209265480036298
 
 
-11.03301320722847, -7.807141963516814, -13.52455637370406, 598, -6.946410422937432, -3.07177948351002, -0.8465410320378655, -0.5984715535051732, -1.036725575684631, 0.6153825609678831
 
 
-11.57172113670712, -8.18798749756556, -14.18429083095792, 615, -7.190756518216637, -3.316125578789226, -0.5387079294786419, -0.3808455340487466, -0.6597344572538564, 0.615382560967883
 
 
-12.11042906618576, -8.568833031614307, -14.84402528821177, 631, -7.435102613495844, -3.560471674068432, -0.5387079294786419, -0.3808455340487467, -0.6597344572538564, 0.6153825609678831
 
 
-12.76712818931839, -9.027654661289365, -15.64513141487717, 651, -7.714355293814937, -3.874630939427412, -0.6566991231326275, -0.4588216296750582, -0.8011061266653989, 0.6098385739321364
 
 
-13.34656859208247, -9.432497275708531, -16.35198976193488, 669, -7.976154681614086, -4.136430327226561, -0.5794404027640808, -0.4048426144191674, -0.7068583470577021, 0.6098385739321364
 
 
-14.2772500780271, -10.075095674478, -17.4829631172272, 697, -8.377580409572781, -4.572762640225144, -0.9306814859446288, -0.6425983987694648, -1.130973355292326, 0.6042945868963895
 
 
-14.87946330271117, -10.48843939938742, -18.21338340918683, 715, -8.639379797371932, -4.852015320544236, -0.6022132246840725, -0.4133437249094268, -0.7304202919596285, 0.6015225933785163
 
 
-15.67745119051523, -11.03290988717214, -19.17942315016569, 740, -8.988445647770797, -5.218534463463045, -0.797987887804055, -0.5444704877847169, -0.9660397409788608, 0.598750599860643
 
 
-16.33919724381615, -11.48442199899361, -19.98052927683108, 760, -9.285151620609833, -5.515240436302081, -0.6617460533009226, -0.4515121118214717, -0.8011061266653954, 0.5987505998606429
 
 
-16.98269248593026, -11.92087225729429, -20.75807345859456, 779, -9.564404300928926, -5.811946409141117, -0.6434952421141144, -0.4364502583006774, -0.7775441817634743, 0.5959786063427695
 
 
-17.7055408618625, -12.40822372115124, -21.62986541996573, 801, -9.878563566287905, -6.14355896702004, -0.7228483759322348, -0.4873514638569526, -0.8717919613711658, 0.5932066128248962
 
 
-18.31230011851864, -12.81486484962753, -22.36028571192536, 819, -10.14036295408705, -6.422811647339132, -0.6067592566561451, -0.4066411284762909, -0.7304202919596285, 0.590434619307023
 
 
-18.89948649592781, -13.20838852234652, -23.06714405898306, 837, -10.4021623418862, -6.684611035138281, -0.5871863774091716, -0.3935236727189905, -0.7068583470577039, 0.590434619307023
 
 
-19.58580728857797, -13.66559875608875, -23.89181213055038, 858, -10.69886831472524, -6.998770300497261, -0.6863207926501612, -0.4572102337422217, -0.82466807156732, 0.5876626257891494
 
 
-20.15552102006894, -14.04285230126715, -24.57510853270616, 875, -10.94321441000445, -7.260569688296411, -0.5697137314909711, -0.3772535451783996, -0.6832964021557828, 0.584890632271276
 
 
-20.76564087720679, -14.44443362906076, -25.30552882466579, 893, -11.2050137978036, -7.539822368615503, -0.610119857137844, -0.4015813277936124, -0.730420291959625, 0.5821186387534027
 
 
-21.33743733146848, -14.81852290729897, -25.98882522682157, 911, -11.4493598930828, -7.801621756414653, -0.5717964542616937, -0.3740892782382131, -0.6832964021557792, 0.5793466452355292
 
 
-21.92895090484265, -15.20551181582126, -26.69568357387927, 929, -11.71115928088195, -8.063421144213804, -0.5915135733741669, -0.38698890852229, -0.7068583470577039, 0.5793466452355291
 
 
-22.54128773601619, -15.60370449291959, -27.4261038658389, 947, -11.9729586686811, -8.342673824532895, -0.6123368311735449, -0.3981926770983247, -0.7304202919596285, 0.5765746517176565
 
 
-23.07557267623795, -15.94903776401347, -28.06227637819083, 962, -12.19985147144036, -8.587019919812102, -0.5342849402217565, -0.3453332710938883, -0.6361725123519335, 0.5738026581997827
 
 
-23.72975507919904, -16.36929998959445, -28.8398205599543, 981, -12.47910415175946, -8.883725892651137, -0.6541824029610915, -0.4202622255809787, -0.7775441817634707, 0.5710306646819098
 
 
-24.36411377297949, -16.77682699621844, -29.59380279681586, 1001, -12.75835683207855, -9.16297857297023, -0.6343586937804574, -0.4075270066239822, -0.7539822368615532, 0.5710306646819095
 
 
-24.95882504839867, -17.15888356492842, -30.30066114387356, 1018, -13.0201562198777, -9.424777960769379, -0.5947112754191769, -0.3820565687099822, -0.7068583470577039, 0.5710306646819095
 
 
-25.55564529019368, -17.5376372075365, -31.00751949093126, 1035, -13.26450231515691, -9.704030641088472, -0.5968202417950115, -0.3787536426080789, -0.7068583470577003, 0.5654866776461629
 
 
-26.25070801231318, -17.98144486923512, -31.83218756249858, 1057, -13.57866158051589, -10.00073661392751, -0.6950627221194989, -0.4438076616986242, -0.8246680715673236, 0.5682586711640364
 
 
-26.70665332346788, -18.27435490524611, -32.37411229524283, 1072, -13.7881010907552, -10.19272283164689, -0.4559453111547043, -0.2929100360109876, -0.541924732744242, 0.5710306646819095
 
 
-27.48222122842174, -18.80985357088733, -33.31659009131976, 1103, -14.24188669627373, -10.43706892692609, -0.7755679049538554, -0.5354986656412194, -0.9424777960769362, 0.6042945868963896
 
 
-27.82161464261491, -19.06418730953039, -33.74070509955438, 1123, -14.52113937659282, -10.47197551196598, -0.3393934141931665, -0.2543337386430662, -0.4241150082346223, 0.6431024961466166
 
 
-28.2546532611736, -19.42785300413476, -34.30619177720055, 1149, -14.90511181203158, -10.50688209700587, -0.4330386185586878, -0.3636656946043699, -0.5654866776461631, 0.6985423665040837
 
 
-28.64221328968183, -19.77208723270937, -34.82455456504286, 1170, -15.18436449235067, -10.61160185212552, -0.3875600285082322, -0.3442342285746058, -0.5183627878423138, 0.7262623016828171
 
 
-29.04033072730045, -20.1397622547382, -35.3664792977871, 1188, -15.44616388014982, -10.75122819228507, -0.39811743761862, -0.3676750220288323, -0.541924732744242, 0.7456662563079303
 
 
-29.51748420568546, -20.59536527508939, -36.02621375504096, 1209, -15.74286985298885, -10.94321441000445, -0.4771534783850157, -0.4556030203511808, -0.6597344572538546, 0.7622982174151707
 
 
-29.94011656049826, -21.00568243582141, -36.61526237758904, 1225, -15.98721594826806, -11.13520062772382, -0.4226323548127942, -0.4103171607320218, -0.5890486225480842, 0.7706141979687903
 
 
-30.37728168213053, -21.43484250360458, -37.22787294503905, 1243, -16.23156204354727, -11.34464013796314, -0.4371651216322695, -0.4291600677831764, -0.6126105674500053, 0.7761581850045371
 
 
-30.89709661498697, -21.94797624687806, -37.95829323699869, 1263, -16.51081472386636, -11.60643952576229, -0.5198149328564453, -0.5131337432734801, -0.7304202919596392, 0.7789301785224103
 
 
-31.3820425985501, -22.42935070218808, -38.64158963915446, 1281, -16.77261411166551, -11.8507856210415, -0.4849459835631332, -0.4813744553100142, -0.6832964021557757, 0.7817021720402842
 
 
-31.91715540799908, -22.96052251494396, -39.39557187601601, 1301, -17.0518667919846, -12.13003830136059, -0.5351128094489752, -0.5311718127558778, -0.7539822368615461, 0.7817021720402835
 
 
-32.40076516325261, -23.44323938622841, -40.07886827817178, 1319, -17.31366617978375, -12.3743843966398, -0.4836097552535285, -0.4827168712844515, -0.6832964021557757, 0.7844741655581573
 
 
-32.90105111696316, -23.9426016668675, -40.78572662522949, 1337, -17.5754655675829, -12.63618378443895, -0.5002859537105504, -0.4993622806390911, -0.7068583470577039, 0.7844741655581569
 
 
-33.41944165111686, -24.45717436047476, -41.51614691718912, 1355, -17.83726495538205, -12.91543646475804, -0.5183905341537011, -0.5145726936072633, -0.7304202919596321, 0.7817021720402838
 
 
-33.90572013669224, -24.9372027009564, -42.1994433193449, 1373, -18.08161105066125, -13.17723585255719, -0.4862784855753731, -0.4800283404816316, -0.6832964021557757, 0.7789301785224103
 
 
-34.37523039862709, -25.40067834004212, -42.85917777659876, 1390, -18.32595714594046, -13.42158194783639, -0.4695102619348494, -0.46347563908572, -0.6597344572538617, 0.7789301785224106
 
 
-34.94535000240511, -25.96347018750333, -43.66028390326415, 1410, -18.6226631187795, -13.71828792067543, -0.5701196037780206, -0.5627918474612207, -0.8011061266653883, 0.7789301785224106
 
 
-35.39932916717709, -26.40913641173972, -44.29645641561609, 1425, -18.84955592153876, -13.96263401595464, -0.4539791647719808, -0.4456662242363839, -0.6361725123519406, 0.7761581850045371
 
 
-35.92198090383953, -26.9193804367612, -45.02687670757571, 1444, -19.11135530933791, -14.24188669627373, -0.5226517366624392, -0.5102440250214793, -0.730420291959625, 0.7733861914866637
 
 
-36.4614923739427, -27.4460839464608, -45.78085894443727, 1463, -19.390607989657, -14.52113937659282, -0.5395114701031714, -0.5267035096996001, -0.7539822368615603, 0.773386191486664
 
 
