x,y,L,t, 1, 1
20.07465032264537, -0.001306298104106969, 20.07477705643878, 921, 7.435102613495844, 7.435102613495844, 0.3534291735288519, 0.0, 0.3534291735288519, 0.0
not linear mode
not linear mode
20.4045175512723, -0.001306298104106969, 20.40464428506571, 940, 7.557275661135447, 7.557275661135447, 0.3298672286269309, 0.0, 0.3298672286269309, 0.0
not linear mode
not linear mode
20.71082165818111, -0.002155373277707169, 20.71094956879072, 957, 7.67944870877505, 7.661995416255106, 0.3063041069088104, -0.0008490751736001998, 0.3063052837250027, -0.002771993517873457
not linear mode
not linear mode
21.04068761946752, -0.003069761926199649, 21.04081679741764, 976, 7.801621756414653, 7.78416846389471, 0.3298659612864125, -0.0009143886484924803, 0.3298672286269273, -0.002771993517873316
not linear mode
not linear mode
21.37055358075393, -0.003984150574692082, 21.37068402604457, 996, 7.923794804054255, 7.906341511534313, 0.3298659612864125, -0.0009143886484924336, 0.3298672286269273, -0.002771993517873174
not linear mode
not linear mode
21.70041954204035, -0.004898539223184609, 21.7005512546715, 1015, 8.04596785169386, 8.028514559173916, 0.3298659612864125, -0.0009143886484925268, 0.3298672286269273, -0.002771993517873457
not linear mode
not linear mode
22.10097260537304, -0.004898539223184609, 22.10110431800419, 1039, 8.185594191853404, 8.185594191853404, 0.4005530633326977, 0.0, 0.4005530633326977, 0.0
not linear mode
not linear mode
22.43083983399998, -0.004898539223184609, 22.43097154663113, 1057, 8.307767239493009, 8.307767239493009, 0.3298672286269309, 0.0, 0.3298672286269309, 0.0
not linear mode
not linear mode
22.7607070626269, -0.004898539223184609, 22.76083877525805, 1078, 8.429940287132611, 8.429940287132611, 0.3298672286269273, 0.0, 0.3298672286269273, 0.0
not linear mode
not linear mode
23.06701116953572, -0.004049464049584486, 23.06714405898306, 1096, 8.534660042252272, 8.552113334772214, 0.3063041069088139, 0.0008490751736001233, 0.3063052837250062, 0.002771993517873174
not linear mode
not linear mode
23.39687713082213, -0.003135075401091959, 23.39701128760999, 1115, 8.656833089891874, 8.674286382411818, 0.3298659612864125, 0.0009143886484925268, 0.3298672286269273, 0.002771993517873457
not linear mode
not linear mode
23.67961938335334, -0.002351313702384156, 23.67975462643307, 1135, 8.761552845011535, 8.779006137531477, 0.2827422525312118, 0.0007837616987078031, 0.2827433388230816, 0.002771993517873174
not linear mode
not linear mode
23.96236163588456, -0.001567552003676343, 23.96249796525615, 1153, 8.866272600131195, 8.883725892651137, 0.2827422525312153, 0.0007837616987078131, 0.2827433388230851, 0.002771993517873174
not linear mode
not linear mode
24.24510388841577, -0.0007837903049684604, 24.24524130407923, 1171, 8.970992355250853, 8.988445647770797, 0.2827422525312118, 0.0007837616987078828, 0.2827433388230816, 0.002771993517873457
not linear mode
not linear mode
24.50428528233692, -0.0007837903049684604, 24.50442269800039, 1187, 9.075712110370514, 9.075712110370514, 0.2591813939211569, 0.0, 0.2591813939211569, 0.0
not linear mode
not linear mode
24.81058938924574, 6.528486863165303e-05, 24.81072798172539, 1207, 9.180431865490174, 9.197885158010116, 0.3063041069088104, 0.0008490751736001133, 0.3063052837250027, 0.002771993517873174
not linear mode
not linear mode
25.09333164177694, -0.0007184768300761402, 25.09347132054847, 1226, 9.302604913129775, 9.285151620609833, 0.2827422525312082, -0.0007837616987077932, 0.282743338823078, -0.002771993517873174
not linear mode
not linear mode
25.35251303569811, -0.0007184768300761402, 25.35265271446963, 1244, 9.389871375729493, 9.389871375729493, 0.259181393921164, 0.0, 0.259181393921164, 0.0
not linear mode
not linear mode
25.61169343385172, -0.001436925053891706, 25.6118341083908, 1261, 9.494591130849154, 9.47713783832921, 0.2591803981536132, -0.000718448223815566, 0.2591813939211605, -0.002771993517873457
not linear mode
not linear mode
25.89443568638292, -0.002220686752599559, 25.89457744721387, 1282, 9.599310885968812, 9.581857593448868, 0.2827422525312011, -0.0007837616987078534, 0.2827433388230709, -0.002771993517873457
not linear mode
not linear mode
26.15361309724155, -0.003657577679715355, 26.15375884113504, 1298, 9.704030641088472, 9.669124056048586, 0.2591774108586298, -0.001436890927115795, 0.2591813939211676, -0.005543987035746632
not linear mode
not linear mode
26.41279349539516, -0.004376025903530911, 26.41294023505619, 1318, 9.791297103688189, 9.773843811168245, 0.2591803981536096, -0.000718448223815556, 0.2591813939211569, -0.002771993517873457
not linear mode
not linear mode
26.67197488931632, -0.004376025903530911, 26.67212162897735, 1336, 9.878563566287905, 9.878563566287905, 0.2591813939211569, 0.0, 0.2591813939211569, 0.0
not linear mode
not linear mode
26.93115528746993, -0.005094474127346457, 26.9313030228985, 1354, 9.983283321407566, 9.965830028887622, 0.2591803981536061, -0.0007184482238155462, 0.2591813939211534, -0.002771993517873457
not linear mode
not linear mode
27.19033668139109, -0.005094474127346457, 27.19048441681966, 1373, 10.07054978400728, 10.07054978400728, 0.259181393921164, 0.0, 0.259181393921164, 0.0
not linear mode
not linear mode
27.44951707954469, -0.004376025903530921, 27.44966581074082, 1392, 10.157816246607, 10.17526953912694, 0.2591803981536025, 0.0007184482238155363, 0.2591813939211498, 0.002771993517873457
not linear mode
not linear mode
27.66157132479266, -0.003200387872254304, 27.66172331485814, 1408, 10.22762941668677, 10.26253600172666, 0.2120542452479692, 0.001175638031276616, 0.2120575041173183, 0.005543987035746913
not linear mode
not linear mode
28.01499914045667, -0.002220685748869561, 28.01515248838698, 1435, 10.36725575684632, 10.38470904936626, 0.3534278156640112, 0.0009797021233847442, 0.3534291735288484, 0.002771993517873174
not linear mode
not linear mode
28.25061768423269, -0.001567550999946312, 28.25077193740622, 1453, 10.45452221944603, 10.47197551196598, 0.2356185437760146, 0.0006531347489232489, 0.2356194490192394, 0.002771993517873457
not linear mode
not linear mode
28.48623622800869, -0.0009144162510230922, 28.48639138642545, 1471, 10.54178868204575, 10.55924197456569, 0.2356185437760039, 0.0006531347489232193, 0.2356194490192287, 0.002771993517873457
not linear mode
not linear mode
28.6747310630295, -0.0003919084518845068, 28.67488694564084, 1487, 10.61160185212552, 10.62905514464547, 0.1884948350208067, 0.0005225077991385854, 0.1884955592153865, 0.002771993517873457
not linear mode
not linear mode
28.91034960680551, -0.001045043200807756, 28.91050639466008, 1506, 10.71632160724518, 10.69886831472524, 0.2356185437760146, -0.0006531347489232489, 0.2356194490192394, -0.002771993517873457
not linear mode
not linear mode
29.14596815058152, -0.001698177949730995, 29.14612584367931, 1526, 10.8035880698449, 10.78613477732496, 0.235618543776011, -0.0006531347489232391, 0.2356194490192358, -0.002771993517873457
not linear mode
not linear mode
29.38158669435753, -0.002351312698654157, 29.38174529269855, 1544, 10.89085453244462, 10.87340123992467, 0.2356185437760075, -0.0006531347489231626, 0.2356194490192323, -0.002771993517873174
not linear mode
not linear mode
29.57008152937833, -0.002873820497792679, 29.57024085191393, 1561, 10.96066770252439, 10.94321441000445, 0.1884948350208031, -0.0005225077991385223, 0.188495559215383, -0.002771993517873174
not linear mode
not linear mode
29.85282378190954, -0.003657582196500572, 29.85298419073701, 1586, 11.06538745764405, 11.04793416512411, 0.2827422525312153, -0.0007837616987078927, 0.2827433388230851, -0.002771993517873457
not linear mode
not linear mode
30.13556603444075, -0.004441343895208456, 30.13572752956009, 1607, 11.17010721276371, 11.15265392024376, 0.2827422525312118, -0.0007837616987078828, 0.2827433388230816, -0.002771993517873457
not linear mode
not linear mode
30.32406086946156, -0.004963851694346988, 30.32422308877548, 1626, 11.23992038284348, 11.22246709032354, 0.1884948350208067, -0.0005225077991385321, 0.1884955592153865, -0.002771993517873174
not linear mode
not linear mode
30.53611837357888, -0.004963851694346988, 30.53628059289279, 1644, 11.30973355292326, 11.30973355292326, 0.2120575041173112, 0.0, 0.2120575041173112, 0.0
not linear mode
