x,y,L,t, 1, 1
0.06737163777681254, -0.0163946890595588, 0.07068583470577044, 207, 1.762782544514273, -1.710422666954443, 0.02006707545525505, -0.01234818732585445, 0.02356194490192378, -0.551626710056796
not linear mode
not linear mode
0.04843840365622594, -0.002369786446837422, 0.04712388980384727, 226, 2.024581932313422, -1.989675347273536, -0.0189332341205866, 0.01402490261272138, -0.02356194490192318, -0.6375585091108698
not linear mode
not linear mode
0.06609807426267316, -0.01796790433436033, 0.07068583470577074, 244, 2.303834612632515, -2.251474735072685, 0.01765967060644722, -0.0155981178875229, 0.02356194490192348, -0.7234903081649435
not linear mode
not linear mode
0.08216374338747418, -0.03520331912872134, 0.09424777960769394, 264, 2.617993877991494, -2.548180707911721, 0.01606566912480103, -0.01723541479436101, 0.02356194490192318, -0.8205100812905107
not linear mode
not linear mode
0.08216374338747418, -0.03520331912872134, 0.09424777960769394, 283, 2.897246558310587, -2.827433388230814, 0.0, -0.0, 0.0, -0.9092138738624579
not linear mode
not linear mode
0.08216374338747386, -0.03520331912872084, 0.09424777960769333, 301, 3.17649923862968, -3.106686068549907, -3.234675628504453e-16, 5.014710186050567e-16, -5.967448757360216e-16, -0.9979176664344049
not linear mode
not linear mode
0.08216374338747412, -0.03520331912872138, 0.09424777960769394, 321, 3.490658503988659, -3.420845333908886, 2.718986271050286e-16, -5.312020174054316e-16, 5.967448757360216e-16, -1.097709433077845
not linear mode
not linear mode
0.08216374338747412, -0.03520331912872138, 0.09424777960769394, 339, 3.769911184307752, -3.700098014227978, 0.0, -0.0, 0.0, -1.186413225649792
not linear mode
not linear mode
0.08216374338747432, -0.03520331912872196, 0.09424777960769454, 357, 4.066617157146788, -3.996803987067014, 1.746880878132869e-16, -5.851017938867614e-16, 6.106226635438361e-16, -1.280661005257486
not linear mode
not linear mode
0.08655742415708861, -0.05835198684105385, 0.1178097245096171, 378, 4.39822971502571, -4.310963252425994, 0.004393680769614289, -0.02314866771233189, 0.02356194490192258, -1.3832247654188
not linear mode
not linear mode
0.08655742415708861, -0.05835198684105385, 0.1178097245096171, 394, 4.642575810304916, -4.5553093477052, 0.0, -0.0, 0.0, -1.460840583919254
not linear mode
not linear mode
0.08716694936643327, -0.03479792717864122, 0.09424777960769273, 421, 5.061454830783555, -4.991641660703783, 0.000609525209344663, 0.02355405966241263, -0.02356194490192439, -1.596668266295048
not linear mode
not linear mode
0.08440835011791947, -0.05819782841235201, 0.1178097245096171, 440, 5.358160803622591, -5.270894341022875, -0.002758599248513796, -0.02339990123371079, 0.02356194490192439, -1.688144052384868
not linear mode
not linear mode
0.0844083501179197, -0.05819782841235083, 0.1178097245096159, 456, 5.619960191421741, -5.532693728822025, 2.377034385340218e-16, 1.169578925159778e-15, -1.193489751472043e-15, -1.771303857921069
not linear mode
not linear mode
0.07775119520783305, -0.08079976496797432, 0.1413716694115403, 473, 5.899212871740834, -5.794493116621174, -0.006657154910086661, -0.02260193655562349, 0.02356194490192439, -1.857235656975143
not linear mode
not linear mode
0.08656643957473619, -0.05894898204577698, 0.1178097245096183, 493, 6.19591884457987, -6.108652381980153, 0.008815244366903144, 0.02185078292219733, -0.023561944901922, -1.95425543010071
not linear mode
not linear mode
0.08656643957473619, -0.05894898204577698, 0.1178097245096183, 510, 6.475171524898963, -6.387905062299246, -0.0, -0.0, 0.0, -2.042959222672657
not linear mode
not linear mode
0.08656643957473619, -0.05894898204577698, 0.1178097245096183, 530, 6.789330790257942, -6.702064327658225, -0.0, -0.0, 0.0, -2.142750989316097
not linear mode
not linear mode
0.0720564456920772, -0.07751306901730368, 0.1413716694115403, 549, 7.086036763096978, -6.981317007977318, -0.01450999388265899, -0.01856408697152668, 0.023561944901922, -2.234226775405918
not linear mode
not linear mode
0.006156221664706405, -0.1448911398870072, 0.2356194490192342, 573, 7.47000919853573, -7.295476273336297, -0.06590022402737081, -0.06737807086970349, 0.09424777960769394, -2.345106516120852
not linear mode
not linear mode
-0.1176630381641332, -0.2538493338236755, 0.4005530633326977, 592, 7.766715171374766, -7.47000919853573, -0.1238192598288396, -0.1089581939366683, 0.1649336143134635, -2.419950341103432
not linear mode
not linear mode
-0.3227497275232493, -0.4123247098372173, 0.6597344572538587, 610, 8.063421144213804, -7.57472895365539, -0.2050866893591161, -0.1584753760135418, 0.259181393921161, -2.483706192014519
not linear mode
not linear mode
-0.5935039223394785, -0.6007512326821308, 0.9896016858807856, 629, 8.342673824532895, -7.609635538695276, -0.2707541948162292, -0.1884265228449136, 0.3298672286269269, -2.533602075336239
not linear mode
not linear mode
-0.8885435367555354, -0.7953374773822888, 1.343030859409635, 646, 8.552113334772214, -7.557275661135447, -0.295039614416057, -0.1945862447001579, 0.3534291735288491, -2.558550016997099
not linear mode
not linear mode
-1.205534471236352, -0.9993939666999887, 1.720021977840409, 664, 8.726646259971647, -7.452555906015788, -0.3169909344808169, -0.2040564893176999, 0.3769911184307744, -2.569637991068593
not linear mode
not linear mode
-1.541735049935078, -1.217136767793054, 2.120575041173112, 683, 8.866272600131195, -7.295476273336297, -0.3362005786987254, -0.2177428010930651, 0.4005530633327026, -2.566865997550719
not linear mode
not linear mode
-1.873647532294249, -1.441361790034957, 2.521128104505811, 702, 8.953539062730911, -7.086036763096978, -0.3319124823591716, -0.2242250222419028, 0.400553063332699, -2.547462042925606
not linear mode
not linear mode
-2.123106691879919, -1.619106141665793, 2.827433388230814, 720, 8.988445647770797, -6.894050545377602, -0.2494591595856698, -0.1777443516308359, 0.3063052837250035, -2.522514101264746
not linear mode
not linear mode
-2.403368319481308, -1.83443287199788, 3.180862561759666, 737, 9.00589894029074, -6.649704450098395, -0.2802616276013889, -0.2153267303320872, 0.3534291735288515, -2.486478185532393
not linear mode
not linear mode
-2.63938059692362, -2.029679208030977, 3.487167845484671, 755, 9.00589894029074, -6.422811647339132, -0.2360122774423117, -0.1952463360330969, 0.3063052837250049, -2.450442269800039
not linear mode
not linear mode
-2.953859261824448, -2.314243277323019, 3.911282853719293, 776, 9.023352232810684, -6.126105674500097, -0.3144786649008282, -0.2845640692920426, 0.4241150082346223, -2.406090373514065
not linear mode
not linear mode
-3.240991330575513, -2.593524375215343, 4.31183591705199, 794, 9.05825881785057, -5.864306286700947, -0.2871320687510651, -0.2792810978923231, 0.4005530633326972, -2.370054457781711
not linear mode
not linear mode
-3.769052631193756, -3.164248667131853, 5.089380098815466, 825, 9.180431865490174, -5.410520681182422, -0.5280613006182434, -0.5707242919165108, 0.7775441817634761, -2.317386580942118
not linear mode
not linear mode
-4.172478101048609, -3.625268837649166, 5.701990666265474, 843, 9.320058205649719, -5.096361415823442, -0.4034254698548533, -0.4610201705173123, 0.612610567450008, -2.289666645763385
not linear mode
not linear mode
-4.568180457940527, -4.092934692829558, 6.314601233715487, 864, 9.494591130849154, -4.817108735504349, -0.395702356891918, -0.4676658551803921, 0.6126105674500124, -2.273034684656145
not linear mode
not linear mode
-4.99152274862781, -4.598929612768171, 6.974335690969343, 884, 9.721483933608416, -4.5553093477052, -0.4233422906872831, -0.5059949199386139, 0.6597344572538564, -2.267490697620398
not linear mode
not linear mode
-5.384626304266002, -5.068782038425456, 7.586946258419353, 902, 9.948376736367679, -4.328416544945937, -0.3931035556381917, -0.4698524256572846, 0.6126105674500097, -2.267490697620398
not linear mode
not linear mode
-5.735816136515722, -5.48151453979205, 8.128870991163589, 919, 10.17526953912694, -4.153883619746504, -0.3511898322497204, -0.412732501366594, 0.5419247327442367, -2.275806678174018
not linear mode
not linear mode
-6.107027807240025, -5.908102254234657, 8.694357668809753, 937, 10.41961563440615, -3.979350694547071, -0.3712116707243032, -0.4265877144426069, 0.5654866776461631, -2.286894652245511
not linear mode
not linear mode
-6.485282799641031, -6.328457274805377, 9.259844346455916, 955, 10.6814150222053, -3.822271061867582, -0.3782549924010063, -0.4203550205707199, 0.5654866776461631, -2.303526613352751
not linear mode
not linear mode
-6.853325524314351, -6.72623481159567, 9.801769079200154, 972, 10.9257611174845, -3.665191429188092, -0.3680427246733193, -0.3977775367902938, 0.5419247327442385, -2.317386580942118
not linear mode
not linear mode
-7.296889620966865, -7.182268097259128, 10.43794159155209, 992, 11.23992038284348, -3.508111796508603, -0.4435640966525137, -0.4560332856634571, 0.6361725123519317, -2.342334522602978
not linear mode
not linear mode
-7.697855955576405, -7.581017619020706, 11.00342826919825, 1010, 11.50171977064263, -3.351032163829113, -0.4009663346095405, -0.3987495217615785, 0.5654866776461649, -2.358966483710218
not linear mode
not linear mode
-8.121245852634349, -7.990553056797536, 11.59247689174633, 1026, 11.76351915844178, -3.17649923862968, -0.4233898970579428, -0.4095354377768302, 0.5890486225480842, -2.372826451299585
not linear mode
not linear mode
-8.550271050184465, -8.394181177216421, 12.18152551429442, 1045, 12.02531854624093, -3.001966313430247, -0.4290251975501153, -0.4036281204188851, 0.589048622548086, -2.386686418888952
not linear mode
not linear mode
-9.017227289025247, -8.82623133226771, 12.81769802664636, 1064, 12.28711793404008, -2.792526803190927, -0.4669562388407819, -0.4320501550512901, 0.6361725123519353, -2.395002399442572
not linear mode
not linear mode
-9.503954743304838, -9.271591792275725, 13.47743248390022, 1082, 12.54891732183923, -2.565634000431665, -0.4867274542795914, -0.4453604600080154, 0.6597344572538582, -2.400546386478319
not linear mode
not linear mode
-9.937428894697076, -9.670438178495504, 14.0664811064483, 1100, 12.75835683207855, -2.338741197672401, -0.4334741513922379, -0.3988463862197784, 0.589048622548086, -2.397774392960446
not linear mode
not linear mode
-10.36757129704514, -10.07287549464304, 14.65552972899639, 1117, 12.95034304979793, -2.094395102393195, -0.4301424023480675, -0.4024373161475371, 0.5890486225480878, -2.389458412406825
not linear mode
not linear mode
-10.8939804352236, -10.57924218208269, 15.38595002095601, 1138, 13.17723585255719, -1.780235837034216, -0.5264091381784545, -0.5063666874396464, 0.730420291959625, -2.375598444817459
not linear mode
not linear mode
-11.26355369007211, -10.94271926405668, 15.90431280879833, 1154, 13.33431548523668, -1.553343034274953, -0.369573254848513, -0.3634770819739969, 0.5183627878423138, -2.364510470745965
not linear mode
not linear mode
-11.71089476958239, -11.39504815331178, 16.54048532115026, 1173, 13.52630170295606, -1.274090353955861, -0.4473410795102785, -0.4523288892550968, 0.6361725123519335, -2.350650503156599
not linear mode
not linear mode
-12.15192381993305, -11.85353353172528, 17.1766578335022, 1192, 13.71828792067543, -0.9948376736367678, -0.4410290503506614, -0.458485378413494, 0.6361725123519335, -2.336790535567232
not linear mode
not linear mode
-12.76543856296976, -12.50565183200145, 18.07201173977529, 1219, 14.01499389351447, -0.6283185307179586, -0.6135147430367073, -0.6521183002761778, 0.895353906273094, -2.325702561495738
not linear mode
not linear mode
-13.26149614839902, -13.04178677289272, 18.80243203173491, 1241, 14.25933998879367, -0.3316125578789226, -0.496057585429256, -0.536134940891265, 0.730420291959625, -2.317386580942118
not linear mode
not linear mode
-13.67754444585581, -13.49144833622088, 19.41504259918492, 1260, 14.48623279155294, -0.1047197551196598, -0.4160482974567959, -0.4496615633281583, 0.6126105674500089, -2.317386580942118
not linear mode
not linear mode
-14.06388426935745, -13.90438504247502, 19.98052927683109, 1276, 14.7131255943122, 0.08726646259971648, -0.3863398235016376, -0.4129367062541462, 0.5654866776461667, -2.322930567977865
not linear mode
not linear mode
-14.51727799138032, -14.38363830215959, 20.64026373408494, 1297, 14.97492498211135, 0.3141592653589793, -0.4533937220228692, -0.4792532596845715, 0.6597344572538546, -2.328474555013611
not linear mode
not linear mode
