x,y,L,t, 1, 1
0.0, 0.0, 0.0, 13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
 
 
0.02356185437760097, -6.531347489232095e-05, 0.02356194490192345, 36, 0.01745329251994329, 0.0, 0.02356185437760097, -6.531347489232095e-05, 0.02356194490192345, -0.002771993517873347
 
 
0.02356185437760097, -6.53134748923209e-05, 0.02356194490192345, 53, 0.05235987755982988, -0.03490658503988659, -3.469113719160799e-18, 4.808488276534345e-20, -3.469446951953614e-18, -0.01385996758936674
 
 
0.04709447546472926, -0.001240469775527081, 0.0471238898038469, 74, 0.1745329251994329, -0.1396263401595464, 0.02353262108712828, -0.001175156300634761, 0.02356194490192345, -0.04989588332172024
 
 
0.07055790803954447, -0.003392812538280711, 0.07068583470577038, 90, 0.3141592653589793, -0.2617993877991494, 0.02346343257481522, -0.00215234276275363, 0.02356194490192348, -0.09147578608982043
 
 
0.09385637636303661, -0.006906588476002245, 0.09424777960769386, 108, 0.5061454830783556, -0.4363323129985824, 0.02329846832349215, -0.003513775937721533, 0.02356194490192348, -0.1496876499651607
 
 
0.09385637636303656, -0.00690658847600223, 0.09424777960769379, 124, 0.6981317007977318, -0.6283185307179586, -6.785479899283016e-17, 1.451037954743796e-17, -6.938893903907228e-17, -0.2106715073583744
 
 
0.116464454466087, -0.01354285640667311, 0.1178097245096173, 143, 0.9424777960769379, -0.8552113334772214, 0.02260807810305041, -0.006636267930670876, 0.02356194490192348, -0.2855153323409548
 
 
0.09437016619862861, -0.005357034913644779, 0.09424777960769394, 160, 1.151917306316258, -1.082104136236484, -0.02209428826745834, 0.008185821493028326, -0.02356194490192334, -0.3548151702877884
 
 
0.1156803725347044, -0.01540891799469617, 0.1178097245096168, 179, 1.43116998663535, -1.343903524035634, 0.02131020633607574, -0.01005188308105139, 0.02356194490192288, -0.4407469693418621
 
 
0.1156803725347046, -0.01540891799469632, 0.1178097245096171, 194, 1.64060949687467, -1.553343034274953, 2.668639762074638e-16, -1.483193430105608e-16, 3.05311331771918e-16, -0.5072748137708226
 
 
0.1156803725347046, -0.01540891799469632, 0.1178097245096171, 214, 1.919862177193762, -1.832595714594046, 0.0, -0.0, 0.0, -0.5959786063427695
 
 
0.1156803725347046, -0.01540891799469632, 0.1178097245096171, 232, 2.199114857512855, -2.111848394913139, 0.0, -0.0, 0.0, -0.6846823989147167
 
 
0.1156803725347046, -0.01540891799469632, 0.1178097245096171, 250, 2.478367537831948, -2.391101075232231, 0.0, -0.0, 0.0, -0.7733861914866639
 
 
0.1156803725347046, -0.01540891799469632, 0.1178097245096171, 271, 2.792526803190927, -2.705260340591211, 0.0, -0.0, 0.0, -0.8731779581301042
 
 
0.1156803725347046, -0.01540891799469632, 0.1178097245096171, 289, 3.07177948351002, -2.984513020910303, 0.0, -0.0, 0.0, -0.9618817507020514
 
 
0.1156803725347043, -0.01540891799469581, 0.1178097245096165, 307, 3.351032163829113, -3.263765701229397, -2.966198272810452e-16, 5.178041374699152e-16, -5.967448757360216e-16, -1.050585543273999
 
 
0.1249979720823878, -0.03705025774597639, 0.1413716694115415, 330, 3.717551306747922, -3.612831551628262, 0.009317599547683461, -0.02164133975128059, 0.02356194490192498, -1.164237277506806
 
 
0.1249979720823874, -0.03705025774597526, 0.1413716694115403, 349, 4.014257279586958, -3.909537524467298, -3.667103713321537e-16, 1.135755823417267e-15, -1.193489751472043e-15, -1.2584850571145
 
 
0.1249979720823874, -0.03705025774597526, 0.1413716694115403, 365, 4.258603374866164, -4.153883619746504, 0.0, -0.0, 0.0, -1.336100875614953
 
 
0.1249979720823876, -0.03705025774597643, 0.1413716694115415, 385, 4.572762640225144, -4.468042885105484, 1.605182504770187e-16, -1.182646049387811e-15, 1.193489751472043e-15, -1.435892642258394
 
 
0.1271743162983699, -0.08412386517199186, 0.1884955592153879, 403, 4.869468613064179, -4.729842272904633, 0.002176344215982324, -0.04707360742601542, 0.04712388980384635, -1.524596434830341
 
 
0.125433017913069, -0.1312155721932754, 0.2356194490192342, 421, 5.148721293383272, -4.97418836818384, -0.001741298385300974, -0.04709170702128354, 0.04712388980384638, -1.607756240366542
 
 
0.1108288811014884, -0.2718308917718849, 0.3769911184307746, 439, 5.410520681182422, -5.131268000863329, -0.01460413681158054, -0.1406153195786095, 0.1413716694115403, -1.674284084795502
 
 
0.07784932134147221, -0.4813081785847979, 0.5890486225480868, 455, 5.654866776461628, -5.218534463463045, -0.03297955976001621, -0.209477286812913, 0.2120575041173122, -1.726951961635095
 
 
0.02153625809317789, -0.758386930127418, 0.8717919613711674, 475, 5.899212871740834, -5.253441048502932, -0.05631306324829433, -0.2770787515426201, 0.2827433388230807, -1.771303857921069
 
 
-0.03937716717460588, -1.034490805998384, 1.154535300194249, 491, 6.056292504420323, -5.201081170943102, -0.06091342526778377, -0.2761038758709665, 0.2827433388230816, -1.787935819028309
 
 
-0.1061955946232662, -1.333419266656021, 1.460840583919254, 510, 6.178465552059927, -5.096361415823442, -0.06681842744866032, -0.2989284606576362, 0.3063052837250051, -1.790707812546182
 
 
-0.1578159026008697, -1.587408122236757, 1.720021977840413, 527, 6.213372137099814, -4.939281783143953, -0.05162030797760346, -0.2539888555807365, 0.2591813939211587, -1.771303857921069
 
 
-0.1948536866365284, -1.796206081053866, 1.932079481957724, 543, 6.213372137099814, -4.782202150464463, -0.03703778403565867, -0.2087979588171093, 0.2120575041173109, -1.746355916260209
 
 
-0.2243448276003948, -2.006202884975051, 2.144136986075034, 560, 6.178465552059927, -4.590215932745087, -0.02949114096386646, -0.2099968039211841, 0.2120575041173098, -1.710320000527855
 
 
-0.2468279407065284, -2.264407270259211, 2.403318379996191, 581, 6.108652381980153, -4.328416544945937, -0.02248311310613356, -0.25820438528416, 0.2591813939211574, -1.657652123688261
 
 
-0.2556005290070253, -2.570586904677253, 2.709623663721196, 603, 6.03883921190038, -4.031710572106902, -0.008772588300496974, -0.3061796344180418, 0.3063052837250049, -1.599440259812921
 
 
-0.2499403427805917, -2.876839886915366, 3.015928947446201, 621, 6.003932626860493, -3.769911184307752, 0.005660186226433696, -0.3062529822381133, 0.3063052837250053, -1.552316370009074
 
 
-0.2258976425564247, -3.276670732537787, 3.416482010778901, 641, 6.021385919380437, -3.490658503988659, 0.02404270022416695, -0.3998308456224212, 0.4005530633326995, -1.510736467240974
 
 
-0.1928479207112506, -3.652210369941939, 3.793473129209675, 657, 6.073745796940266, -3.263765701229397, 0.03304972184517406, -0.3755396374041526, 0.3769911184307739, -1.483016532062241
 
 
-0.1486457442804912, -4.074015666030833, 4.217588137444299, 676, 6.178465552059927, -3.054326190990076, 0.04420217643075944, -0.4218052960888937, 0.4241150082346241, -1.466384570955
 
 
-0.1007538728098267, -4.519123543984771, 4.665265090580844, 693, 6.335545184739416, -2.879793265790644, 0.04789187147066444, -0.445107877953938, 0.4476769531365452, -1.463612577437127
 
 
-0.05656512311773493, -4.964614294472669, 5.11294204371739, 710, 6.527531402458793, -2.740166925631097, 0.04418874969209182, -0.4454907504878983, 0.4476769531365461, -1.471928557990748
 
 
-0.006316101637816818, -5.669684332586229, 5.819800390775091, 740, 6.876597252857658, -2.565634000431665, 0.05024902147991812, -0.7050700381135596, 0.7068583470577012, -1.49964849316948
 
 
0.0141423812321033, -6.140478926335109, 6.291039288813561, 760, 7.138396640656808, -2.478367537831948, 0.02045848286992012, -0.4707945937488796, 0.4712388980384699, -1.527368428348214
 
 
0.01631949210515329, -6.611712795250276, 6.76227818685203, 780, 7.435102613495844, -2.426007660272118, 0.002177110873049993, -0.4712338689151672, 0.471238898038469, -1.566176337598441
 
 
0.00970139148166845, -6.988645818637488, 7.139269305282806, 795, 7.644542123735164, -2.356194490192345, -0.006618100623484844, -0.3769330233872121, 0.3769911184307757, -1.588352285741428
 
 
-0.009320896478788399, -7.435918450183808, 7.58694625841935, 814, 7.888888219014369, -2.268928027592628, -0.01902228796045685, -0.447272631546319, 0.4476769531365443, -1.613300227402288
 
 
-0.03993339253261235, -7.929771413382246, 8.081747101359744, 833, 8.133234314293576, -2.146754979953025, -0.03061249605382395, -0.4938529631984389, 0.4948008429403936, -1.632704182027402
 
 
-0.07086453332427309, -8.3527569979347, 8.505862109594366, 850, 8.325220532012953, -2.024581932313422, -0.03093114079166074, -0.4229855845524529, 0.4241150082346223, -1.643792156098895
 
 
-0.09835888069463794, -8.728744184203544, 8.882853228025139, 865, 8.464846872172497, -1.884955592153876, -0.02749434737036485, -0.3759871862688446, 0.376991118430773, -1.643792156098895
 
 
-0.1304291146557869, -9.246113955173337, 9.401216015867456, 885, 8.621926504851988, -1.658062789394613, -0.03207023396114892, -0.5173697709697934, 0.5183627878423174, -1.632704182027402
 
 
-0.1519733126203522, -9.669681408767113, 9.825331024102077, 902, 8.744099552491591, -1.466076571675237, -0.02154419796456533, -0.4235674535937763, 0.4241150082346206, -1.621616207955908
 
 
-0.1647733420165897, -10.16431666167776, 10.32013186704247, 921, 8.848819307611251, -1.204277183876087, -0.01280002939623747, -0.4946352529106477, 0.4948008429403945, -1.596668266295048
 
 
-0.1651869944951274, -10.6119934237073, 10.76780882017902, 940, 8.936085770210967, -0.9599310885968812, -0.0004136524785377854, -0.4476767620295334, 0.4476769531365452, -1.571720324634188
 
 
