x,y,L,t, 1, 1
0.0, 0.0, 0.0, 11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
linear mode
linear mode
0.0, 0.0, 0.0, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
linear mode
linear mode
0.1178092718880049, -0.0003265673744616047, 0.1178097245096172, 52, 0.05235987755982988, 0.03490658503988659, 0.1178092718880049, -0.0003265673744616047, 0.1178097245096172, -0.002771993517873347
linear mode
linear mode
0.3063041069088126, -0.0008490751736001725, 0.3063052837250048, 70, 0.1221730476396031, 0.1047197551196598, 0.1884948350208077, -0.0005225077991385678, 0.1884955592153876, -0.002771993517873349
linear mode
linear mode
0.6126093906338175, -0.0008490751736001725, 0.6126105674500097, 88, 0.2268928027592628, 0.2268928027592628, 0.3063052837250049, 0.0, 0.3063052837250049, 0.0
linear mode
linear mode
1.013160915053034, -0.001959404246769627, 1.013163630782708, 108, 0.3839724354387525, 0.3665191429188092, 0.4005515244192164, -0.001110329073169454, 0.4005530633326986, -0.002771993517873343
linear mode
linear mode
1.460837868189579, -0.001959404246769627, 1.460840583919254, 127, 0.5410520681182422, 0.5410520681182422, 0.4476769531365454, 0.0, 0.4476769531365454, 0.0
linear mode
linear mode
1.908513101363998, -0.003200360269723719, 1.908517537055799, 146, 0.715584993317675, 0.6981317007977318, 0.4476752331744185, -0.001240956022954092, 0.4476769531365457, -0.002771993517873333
linear mode
linear mode
2.379750188916018, -0.004506629767570132, 2.379756435094269, 163, 0.8901179185171079, 0.8726646259971648, 0.4712370875520196, -0.001306269497846413, 0.4712388980384691, -0.002771993517873333
linear mode
linear mode
2.945234693978441, -0.006074153164985838, 2.945243112740432, 184, 1.099557428756428, 1.082104136236484, 0.5654845050624235, -0.001567523397415706, 0.5654866776461631, -0.002771993517873351
linear mode
linear mode
3.345787757311139, -0.006074153164985838, 3.34579617607313, 200, 1.239183768915974, 1.239183768915974, 0.4005530633326981, 0.0, 0.4005530633326981, 0.0
linear mode
linear mode
3.864150545153455, -0.006074153164985838, 3.864158963915445, 219, 1.43116998663535, 1.43116998663535, 0.5183627878423156, 0.0, 0.5183627878423156, 0.0
linear mode
linear mode
4.382513332995771, -0.006074153164985838, 4.382521751757761, 238, 1.623156204354726, 1.623156204354726, 0.518362787842316, 0.0, 0.518362787842316, 0.0
linear mode
linear mode
4.900876120838087, -0.006074153164985838, 4.900884539600078, 256, 1.815142422074103, 1.815142422074103, 0.5183627878423165, 0.0, 0.5183627878423165, 0.0
linear mode
linear mode
5.584169897788516, -0.004180062393108503, 5.584180941755858, 281, 2.059488517353309, 2.076941809873252, 0.6832937769504282, 0.001894090771877335, 0.6832964021557801, 0.002771993517873386
linear mode
linear mode
6.055406985340534, -0.002873792895262102, 6.055419839794326, 299, 2.234021442552742, 2.251474735072685, 0.4712370875520185, 0.001306269497846402, 0.4712388980384681, 0.002771993517873316
linear mode
linear mode
6.550207828280927, -0.002873792895262102, 6.550220682734719, 317, 2.426007660272118, 2.426007660272118, 0.4948008429403927, 0.0, 0.4948008429403927, 0.0
linear mode
linear mode
7.045006770210549, -0.001502209922523339, 7.045021525675113, 336, 2.600540585471551, 2.617993877991494, 0.4947989419296215, 0.001371582972738763, 0.4948008429403936, 0.002771993517873386
linear mode
linear mode
7.563367566517769, -6.531347489229736e-05, 7.563384313517427, 354, 2.792526803190927, 2.80998009571087, 0.5183607963072201, 0.001436896447631042, 0.5183627878423147, 0.002771993517873316
linear mode
linear mode
7.963920629850468, -6.531347489229736e-05, 7.963937376850126, 369, 2.949606435870417, 2.949606435870417, 0.4005530633326986, 0.0, 0.4005530633326986, 0.0
linear mode
linear mode
8.482283417692784, -6.531347489229736e-05, 8.482300164692441, 390, 3.141592653589793, 3.141592653589793, 0.5183627878423156, 0.0, 0.5183627878423156, 0.0
linear mode
linear mode
8.953522315731254, -6.531347489229736e-05, 8.953539062730911, 408, 3.316125578789226, 3.316125578789226, 0.4712388980384699, 0.0, 0.4712388980384699, 0.0
linear mode
linear mode
9.424761213769722, -6.531347489229736e-05, 9.424777960769379, 426, 3.490658503988659, 3.490658503988659, 0.4712388980384681, 0.0, 0.4712388980384681, 0.0
linear mode
linear mode
9.943124001612039, -6.531347489229736e-05, 9.943140748611697, 447, 3.682644721708035, 3.682644721708035, 0.5183627878423174, 0.0, 0.5183627878423174, 0.0
linear mode
linear mode
10.41436289965051, -6.531347489229736e-05, 10.41437964665017, 465, 3.857177646907468, 3.857177646907468, 0.4712388980384699, 0.0, 0.4712388980384699, 0.0
linear mode
linear mode
10.88560179768898, -6.531347489229736e-05, 10.88561854468864, 485, 4.031710572106902, 4.031710572106902, 0.4712388980384681, 0.0, 0.4712388980384681, 0.0
linear mode
linear mode
11.26259291611975, -6.531347489229736e-05, 11.26260966311941, 500, 4.171336912266447, 4.171336912266447, 0.3769911184307748, 0.0, 0.3769911184307748, 0.0
linear mode
linear mode
11.73383181415822, -6.531347489229736e-05, 11.73384856115788, 519, 4.34586983746588, 4.34586983746588, 0.4712388980384681, 0.0, 0.4712388980384681, 0.0
linear mode
linear mode
12.15794682239284, -6.531347489229736e-05, 12.1579635693925, 538, 4.50294947014537, 4.50294947014537, 0.4241150082346223, 0.0, 0.4241150082346223, 0.0
linear mode
linear mode
12.58206183062747, -6.531347489229736e-05, 12.58207857762712, 557, 4.660029102824859, 4.660029102824859, 0.4241150082346223, 0.0, 0.4241150082346223, 0.0
linear mode
linear mode
