x,y,L,t, 1, 1
0.0, 0.0, 0.0, 11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
 
 
0.0, 0.0, 0.0, 34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
 
 
-0.04711230315799442, -0.001044931286896066, -0.04712388980384691, 59, -0.08726646259971648, 0.05235987755982988, -0.04711230315799442, -0.001044931286896066, -0.04712388980384691, 0.02217594814298677
 
 
-0.07063433808003405, -0.002415741517242861, -0.07068583470577034, 76, -0.2094395102393195, 0.1570796326794897, -0.02352203492203964, -0.001370810230346795, -0.02356194490192343, 0.05821186387534029
 
 
-0.04720298956245489, 6.158652099039294e-05, -0.0471238898038469, 93, -0.3490658503988659, 0.3141592653589793, 0.02343134851757917, 0.002477328038233254, 0.02356194490192344, 0.1053357536791872
 
 
-0.07042889505974149, -0.003903581999058507, -0.0706858347057703, 112, -0.5585053606381854, 0.5061454830783556, -0.0232259054972866, -0.003965168520048899, -0.02356194490192341, 0.1690916045902742
 
 
-0.07042889505974149, -0.003903581999058507, -0.0706858347057703, 132, -0.7853981633974483, 0.7330382858376185, 0.0, 0.0, 0.0, 0.2411634360549812
 
 
-0.07042889505974161, -0.00390358199905855, -0.07068583470577044, 150, -1.012290966156711, 0.9599310885968812, -1.320251743065692e-16, -4.276275006582678e-17, -1.387778780781446e-16, 0.3132352675196883
 
 
-0.07042889505974161, -0.00390358199905855, -0.07068583470577044, 169, -1.291543646475804, 1.239183768915974, 0.0, 0.0, 0.0, 0.4019390600916353
 
 
-0.07042889505974161, -0.00390358199905855, -0.07068583470577044, 190, -1.570796326794897, 1.518436449235067, 0.0, 0.0, 0.0, 0.4906428526635824
 
 
-0.07042889505974161, -0.00390358199905855, -0.07068583470577044, 208, -1.850049007113989, 1.797689129554159, 0.0, 0.0, 0.0, 0.5793466452355295
 
 
-0.0704288950597414, -0.003903581999058367, -0.07068583470577016, 229, -2.164208272472969, 2.111848394913139, 2.267685761970677e-16, 1.830560662666817e-16, 2.914335439641036e-16, 0.6791384118789701
 
 
-0.05334266033914558, 0.01232065390387396, -0.04712388980384636, 247, -2.408554367752175, 2.373647782712288, 0.01708623472059582, 0.01622423590293233, 0.02356194490192379, 0.7595262238972972
 
 
